date,event,severity
2025-01-15,CPI,high
2025-01-29,FOMC Rate Decision,high
2025-02-07,Nonfarm Payrolls,high
2025-02-12,CPI,high
2025-02-28,Core PCE,high
2025-03-07,Nonfarm Payrolls,high
2025-03-12,CPI,high
2025-03-19,FOMC Rate Decision,high
2025-03-28,Core PCE,high
2025-04-04,Nonfarm Payrolls,high
2025-04-10,CPI,high
2025-04-30,Core PCE,high
2025-05-02,Nonfarm Payrolls,high
2025-05-13,CPI,high
2025-05-30,Core PCE,high
2025-06-06,Nonfarm Payrolls,high
2025-06-11,CPI,high
2025-06-18,FOMC Rate Decision,high
2025-06-27,Core PCE,high
2025-07-03,Nonfarm Payrolls,high
2025-07-15,CPI,high
2025-07-30,FOMC Rate Decision,high
2025-07-31,Core PCE,high
2025-08-01,Nonfarm Payrolls,high
2025-08-13,CPI,high
2025-08-29,Core PCE,high
